Trial,Bandit,Reward,Algorithm
217,4,0.4,BayesianUCB
218,4,0.4,BayesianUCB
219,4,0,BayesianUCB
220,4,0.4,BayesianUCB
221,4,0,BayesianUCB
222,4,0,BayesianUCB
223,4,0,BayesianUCB
224,4,0.4,BayesianUCB
225,4,0.4,BayesianUCB
226,4,0,BayesianUCB
227,4,0.4,BayesianUCB
228,4,0.4,BayesianUCB
229,4,0,BayesianUCB
230,4,0.4,BayesianUCB
231,4,0.4,BayesianUCB
232,4,0,BayesianUCB
233,4,0,BayesianUCB
234,4,0,BayesianUCB
235,4,0.4,BayesianUCB
236,4,0,BayesianUCB
237,4,0,BayesianUCB
238,4,0,BayesianUCB
239,4,0,BayesianUCB
240,4,0,BayesianUCB
241,4,0,BayesianUCB
242,3,0,BayesianUCB
243,4,0,BayesianUCB
244,4,0,BayesianUCB
245,2,0,BayesianUCB
246,4,0.4,BayesianUCB
247,4,0.4,BayesianUCB
248,4,0.4,BayesianUCB
249,4,0.4,BayesianUCB
250,4,0,BayesianUCB
251,4,0,BayesianUCB
252,4,0.4,BayesianUCB
253,4,0,BayesianUCB
254,4,0.4,BayesianUCB
255,4,0,BayesianUCB
256,4,0.4,BayesianUCB
257,4,0,BayesianUCB
258,4,0.4,BayesianUCB
259,4,0.4,BayesianUCB
260,4,0,BayesianUCB
261,4,0.4,BayesianUCB
262,4,0.4,BayesianUCB
263,4,0,BayesianUCB
264,4,0,BayesianUCB
265,4,0.4,BayesianUCB
266,4,0.4,BayesianUCB
267,4,0.4,BayesianUCB
268,4,0.4,BayesianUCB
269,4,0.4,BayesianUCB
270,4,0,BayesianUCB
271,4,0,BayesianUCB
272,4,0,BayesianUCB
273,4,0,BayesianUCB
274,4,0,BayesianUCB
275,4,0,BayesianUCB
276,4,0,BayesianUCB
277,4,0,BayesianUCB
278,4,0,BayesianUCB
279,4,0.4,BayesianUCB
280,4,0,BayesianUCB
281,4,0.4,BayesianUCB
282,4,0.4,BayesianUCB
283,4,0.4,BayesianUCB
284,4,0,BayesianUCB
285,4,0.4,BayesianUCB
286,4,0,BayesianUCB
287,4,0.4,BayesianUCB
288,4,0,BayesianUCB
289,4,0,BayesianUCB
290,4,0,BayesianUCB
291,4,0,BayesianUCB
292,4,0,BayesianUCB
293,4,0,BayesianUCB
294,4,0,BayesianUCB
295,4,0.4,BayesianUCB
296,4,0,BayesianUCB
297,4,0.4,BayesianUCB
298,4,0,BayesianUCB
299,4,0.4,BayesianUCB
300,4,0,BayesianUCB
301,4,0,BayesianUCB
302,4,0.4,BayesianUCB
303,4,0.4,BayesianUCB
304,4,0,BayesianUCB
305,4,0,BayesianUCB
306,4,0.4,BayesianUCB
307,4,0.4,BayesianUCB
308,4,0.4,BayesianUCB
309,4,0,BayesianUCB
310,4,0.4,BayesianUCB
311,4,0,BayesianUCB
312,4,0.4,BayesianUCB
313,4,0.4,BayesianUCB
314,4,0.4,BayesianUCB
315,4,0.4,BayesianUCB
316,4,0,BayesianUCB
317,4,0,BayesianUCB
318,4,0,BayesianUCB
319,4,0,BayesianUCB
320,4,0.4,BayesianUCB
321,4,0,BayesianUCB
322,4,0.4,BayesianUCB
323,4,0,BayesianUCB
324,4,0,BayesianUCB
325,4,0,BayesianUCB
326,4,0,BayesianUCB
327,4,0,BayesianUCB
328,4,0.4,BayesianUCB
329,4,0,BayesianUCB
330,4,0.4,BayesianUCB
331,4,0.4,BayesianUCB
332,4,0,BayesianUCB
333,4,0.4,BayesianUCB
334,4,0,BayesianUCB
335,4,0,BayesianUCB
336,4,0,BayesianUCB
337,4,0,BayesianUCB
338,4,0,BayesianUCB
339,4,0.4,BayesianUCB
340,4,0.4,BayesianUCB
341,4,0,BayesianUCB
342,4,0.4,BayesianUCB
343,4,0.4,BayesianUCB
344,4,0,BayesianUCB
345,4,0,BayesianUCB
346,4,0.4,BayesianUCB
347,4,0.4,BayesianUCB
348,4,0.4,BayesianUCB
349,4,0,BayesianUCB
350,4,0.4,BayesianUCB
351,4,0,BayesianUCB
352,4,0,BayesianUCB
353,4,0,BayesianUCB
354,4,0.4,BayesianUCB
355,4,0.4,BayesianUCB
356,4,0,BayesianUCB
357,4,0,BayesianUCB
358,4,0.4,BayesianUCB
359,4,0,BayesianUCB
360,4,0.4,BayesianUCB
361,4,0.4,BayesianUCB
362,4,0,BayesianUCB
363,4,0,BayesianUCB
364,4,0.4,BayesianUCB
365,4,0,BayesianUCB
366,4,0.4,BayesianUCB
367,4,0.4,BayesianUCB
368,4,0.4,BayesianUCB
369,4,0.4,BayesianUCB
370,4,0,BayesianUCB
371,4,0.4,BayesianUCB
372,4,0.4,BayesianUCB
373,4,0.4,BayesianUCB
374,4,0,BayesianUCB
375,4,0.4,BayesianUCB
376,4,0.4,BayesianUCB
377,4,0,BayesianUCB
378,4,0,BayesianUCB
379,4,0.4,BayesianUCB
380,4,0,BayesianUCB
381,4,0,BayesianUCB
382,4,0.4,BayesianUCB
383,4,0,BayesianUCB
384,4,0.4,BayesianUCB
385,4,0,BayesianUCB
386,4,0.4,BayesianUCB
387,4,0.4,BayesianUCB
388,4,0,BayesianUCB
389,4,0,BayesianUCB
390,4,0,BayesianUCB
391,4,0.4,BayesianUCB
392,4,0.4,BayesianUCB
393,4,0,BayesianUCB
394,4,0,BayesianUCB
395,4,0.4,BayesianUCB
396,4,0,BayesianUCB
397,4,0,BayesianUCB
398,4,0,BayesianUCB
