Trial,Bandit,Reward,Algorithm
203,4,0,ThompsonSampling
204,4,0.4,ThompsonSampling
205,4,0.4,ThompsonSampling
206,4,0.4,ThompsonSampling
207,4,0.4,ThompsonSampling
208,4,0.4,ThompsonSampling
209,4,0.4,ThompsonSampling
210,4,0.4,ThompsonSampling
211,4,0.4,ThompsonSampling
212,3,0,ThompsonSampling
213,4,0,ThompsonSampling
214,4,0.4,ThompsonSampling
215,4,0,ThompsonSampling
216,4,0.4,ThompsonSampling
217,4,0,ThompsonSampling
218,4,0,ThompsonSampling
219,4,0,ThompsonSampling
220,4,0.4,ThompsonSampling
221,4,0,ThompsonSampling
222,4,0,ThompsonSampling
223,4,0.4,ThompsonSampling
224,4,0,ThompsonSampling
225,4,0.4,ThompsonSampling
226,4,0,ThompsonSampling
227,4,0,ThompsonSampling
228,4,0.4,ThompsonSampling
229,4,0.4,ThompsonSampling
230,4,0,ThompsonSampling
231,4,0.4,ThompsonSampling
232,4,0.4,ThompsonSampling
233,4,0,ThompsonSampling
234,4,0,ThompsonSampling
235,4,0,ThompsonSampling
236,4,0,ThompsonSampling
237,4,0,ThompsonSampling
238,4,0,ThompsonSampling
239,4,0.4,ThompsonSampling
240,4,0,ThompsonSampling
241,4,0,ThompsonSampling
242,4,0.4,ThompsonSampling
243,4,0,ThompsonSampling
244,4,0.4,ThompsonSampling
245,4,0.4,ThompsonSampling
246,4,0,ThompsonSampling
247,4,0.4,ThompsonSampling
248,4,0,ThompsonSampling
249,4,0.4,ThompsonSampling
250,4,0,ThompsonSampling
251,4,0,ThompsonSampling
252,4,0.4,ThompsonSampling
253,4,0.4,ThompsonSampling
254,4,0.4,ThompsonSampling
255,4,0.4,ThompsonSampling
256,3,0,ThompsonSampling
257,4,0.4,ThompsonSampling
258,4,0,ThompsonSampling
259,4,0,ThompsonSampling
260,4,0.4,ThompsonSampling
261,4,0,ThompsonSampling
262,4,0,ThompsonSampling
263,4,0.4,ThompsonSampling
264,4,0.4,ThompsonSampling
265,4,0,ThompsonSampling
266,4,0,ThompsonSampling
267,3,0,ThompsonSampling
268,4,0,ThompsonSampling
269,4,0,ThompsonSampling
270,4,0.4,ThompsonSampling
271,4,0.4,ThompsonSampling
272,4,0,ThompsonSampling
273,1,0,ThompsonSampling
274,4,0,ThompsonSampling
275,4,0,ThompsonSampling
276,4,0,ThompsonSampling
277,4,0,ThompsonSampling
278,4,0,ThompsonSampling
279,4,0,ThompsonSampling
280,4,0,ThompsonSampling
281,4,0,ThompsonSampling
282,4,0,ThompsonSampling
283,4,0,ThompsonSampling
284,4,0,ThompsonSampling
285,4,0.4,ThompsonSampling
286,4,0,ThompsonSampling
287,4,0,ThompsonSampling
288,4,0,ThompsonSampling
289,4,0.4,ThompsonSampling
290,4,0.4,ThompsonSampling
291,4,0.4,ThompsonSampling
